corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
00609403,마스텍중공업,"Mastek Heavy Industries Co., Ltd.",3111,20240223,20260429,연결감사보고서 (2025.12),20260429001128,
00809438,다산기공,"DASAN MACHINERIES CO.,LTD.",292,20230321,20260420,연결감사보고서 (2025.12),20260420000034,
01731976,동건공업,"dong kun industrial co.,ltd.",28111,20240223,20260403,감사보고서 (2025.12),20260403000702,
00137474,신한발브공업,"Shin Han Valve Industrial Co., Ltd.",30399,20230504,20260430,연결감사보고서 (2025.12),20260430001422,
01290585,영인정공,YOUNG IN PRECISION CO.LTD,25992,20240227,20260414,감사보고서 (2025.12),20260414001673,
01777792,동우일렉트로닉스,DONGWOO ELECTRONICE CO.LTD,26299,20230731,,,,
00102344,경창정공,"Kyung Chang Precision Ind. Co., Ltd.",31999,20240216,20260330,감사보고서 (2025.12),20260330000484,
01808171,세화오토모티브,"SEHWA AUTOMOTIVE CO., LTD",30399,20240117,20260417,감사보고서 (2025.12),20260417000030,
00220914,시그너스정공,"Cygnus Co., Ltd.",30,20240227,20260331,감사보고서 (2025.12),20260331001085,
00622282,커머셜엔진,"Commercial Engine co.,Ltd.",29111,20240228,20260408,감사보고서 (2025.12),20260408001774,
01772566,대양정밀,"Dae Yang Precision Co.,Ltd",25924,20230727,20250403,감사보고서 (2024.12),20250403001202,
00891794,금호정밀,KUMHOJEONGMIL,30,20240228,20260413,감사보고서 (2025.12),20260413001279,
01788220,에스에프메탈,"SFMETAL Co., Ltd",24212,20240227,20260413,감사보고서 (2025.12),20260413002536,
01752960,화진정공,"HWAJIN PRECISION CO., LTD",28511,20230508,20260410,감사보고서 (2025.12),20260410003377,
01585809,케이씨파츠텍,"KCPartsTech Co., Ltd.",29271,20230926,20260403,감사보고서 (2025.12),20260403001272,
00369532,애로우일렉트로닉스,ARROW ELECTRONICS KOREA LTD.,46106,20230223,20260410,감사보고서 (2025.12),20260410000095,
01204180,명진정공,"Myung-jin Precision IND,co.,Ltd",303,20231211,20260331,감사보고서 (2025.12),20260331002942,
01715631,델타일렉트로닉스코리아,DELTA ELECTRONICS(KOREA),46106,20231229,20260409,감사보고서 (2025.12),20260409001734,
01028951,대진메탈공업,"DAEJIN METAL IND. CO., LTD.",24312,20230223,20260402,감사보고서 (2025.12),20260402003233,
00836636,현대스틸,"HYUNDAI STEEL CO.,LTD",25999,20230403,20260331,감사보고서 (2025.12),20260331002961,
01547571,신원오토모티브,SHINWON AUTOMOTIVE,30320,20230223,,,,
01213018,동양정밀가스켓,"DONG YANG JEONG MIL GASKET CO.,LTD",2591,20230223,20260401,감사보고서 (2025.12),20260401002041,
00563794,연산메탈,"YOUN SAN STEEL CO., LTD.",46721,20230223,20260406,감사보고서 (2025.12),20260406001012,
00235004,페르노리카코리아,"Pernod Ricard Korea Co., Ltd.",46331,20230811,20251002,감사보고서 (2025.06),20251002000124,
01780662,남도전기공업,"Nam Do Electric Co.,Ltd",25999,20230821,20260331,감사보고서 (2025.12),20260331003219,
